Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.934534485569868	0.9487200391325615	0.9624979618457525	0.9430949430820249	0.961519647806946
Precision	0.9242798725309328	0.9451102002691428	0.958951623748782	0.9402128502504672	0.958361885882125
Recall	0.9341941137139804	0.9442235120149745	0.9599097496725714	0.9378130090380555	0.9583662883074643
F-Measure	0.9280703393123005	0.9446256440657246	0.9594210817309256	0.9382407510007822	0.9583584994381112
